,names,x,y
0,Thiago Silva,29889.655509416014,1843.80540525707
1,Neto,11994.871069155197,7268.574321763985
2,Brandon Aguilera,-12786.817991180338,792.3753138782437
3,Vitinho,132.2246608795209,-976.619921661695
4,Ashley Young,1674.5754888776855,1120.1539652458853
5,Remi Matthews,-12840.638329739615,788.4919892868019
6,S?amus Coleman,-8981.328144375875,831.1346330616867
7,Mathias J?rgensen,-4483.343422870655,1433.4055243348962
8,?ukasz Fabia?ski,-6474.804809119195,2528.8989121785776
9,Aaron Cresswell,-8250.48095428432,1053.2370604720477
10,Wes Foderingham,11472.590597201715,8164.141550355095
11,Adam Lallana,-7526.004712023601,-159.34256098790652
12,Adam Smith,1365.3440256926656,1079.9078748236184
13,Ben Mee,-2702.776624148912,819.1209542576331
14,James Milner,-4596.464989832177,529.6639629808996
15,Joel Ward,602.9458190678994,1793.7529336991095
16,Martin D?bravka,1016.7801434326619,3137.4098602225786
17,Nathaniel Clyne,-4423.997775174504,883.247065812148
18,Robin Olsen,-8716.086350028647,1478.6710666077656
19,Andros Townsend,-7044.789183724088,-625.790528869642
20,Andr? Gomes,-8679.599420954932,302.3853946120923
21,Craig Dawson,12561.92974978496,495.57188940436055
22,Daniel Bentley,-10026.827009292545,1548.3672905889293
23,Ivan Peri?i?,-11843.02627297729,677.0545840863035
24,James Hill,-12248.099519506362,861.1664535916262
25,Jonny Evans,241.0244002315372,1.1743061383410331
26,Omari Forson,-12443.547667459583,716.1562678343763
27,Tom Cairney,5780.547715417699,-2288.605668614104
28,Emil Krafth,-4466.218923551519,787.884599800313
29,George Baldock,-7690.502551471821,754.5985639269668
30,Willy Boly,-2331.4800424527284,1261.5487034732416
31,Charlie Taylor,5134.283825792483,-125.67887541627353
32,Gabriel Osho,-788.9943252237157,670.1992644883068
33,Ja?ro Riedewald,-11352.235287982267,635.0548910779393
34,Matt Doherty,-4535.909902266351,135.54831913991154
35,Rodrigo Ribeiro,-12734.321104605528,769.3221597872034
36,Thomas Strakosha,-11082.994490732122,1237.264236741758
37,William Osula,-12104.15196848611,381.04856357761264
38,Willian,4855.420503546933,-2688.809799181663
39,Ivo Grbi?,-6045.835041659462,2911.714119859062
40,Jason Steele,1757.8927632983275,4245.001334906337
41,Mark Travers,-10125.615153855992,1502.0343277419681
42,Carlos Vin?cius,-12180.02579324397,582.8846067539009
43,Emiliano Mart?nez,19756.116343169124,6540.442951339051
44,Enso Gonzalez,-12756.35310611113,763.0894836846479
45,Jordan Ayew,-1805.1522340466922,-2807.860066846045
46,Michail Antonio,-9588.06238769462,-595.855370580487
47,Tim Iroegbunam,-12054.844758432753,708.0261912381214
48,Danny Welbeck,-7548.91980238191,-851.2921462608932
49,Donny van de Beek,-12837.925121519678,792.5925318586874
50,Harry Toffolo,-5095.393782306661,1227.0034705259723
51,Ra?l Jim?nez,-9062.996205387175,-169.45945816046017
52,Sasa Kalajdzic,-12287.215788090261,704.3104182885845
53,Willy Kambwala,-9776.740950500793,632.7459107621916
54,Boubacar Traor?,-6599.89777416569,-100.88184729787511
55,Hugo Bueno,-8022.485808641002,-204.655377133406
56,Luke Thomas,-8559.658163599985,680.4107826938957
57,Mahmoud Dahoud,-8573.406939488985,136.28095711101412
58,Michael Keane,-9007.187983036678,788.394273996096
59,Arijanet Muric,1013.785636186366,4253.601330126781
60,Auston Trusty,701.2663482047268,980.9436990865422
61,Chris Wood,-9098.098746628171,56.14893373106199
62,Dara O'Shea,17675.610544307216,335.5091031608341
63,Jamaal Lascelles,-171.99517109044652,30.283934882944273
64,Jeffrey Schlupp,-8919.397318980267,-16.777769050393847
65,Leander Dendoncker,-12077.125898926097,689.1761794750732
66,Matt Turner,2424.926261915556,5500.478229526675
67,Matz Sels,-3508.109600118375,3508.2737903595425
68,Ben Johnson,-8435.636246927454,382.6884659981812
69,Chiedozie Ogbene,-2888.9387542771415,-2568.612540741414
70,Christian Eriksen,-1583.5397117364466,-511.0853378373223
71,Dan Burn,11748.493057806318,774.9076973447609
72,Danny Ings,-11889.653274323582,523.8258746289932
73,David Brooks,-11017.62948284552,640.3870915954278
74,Facundo Pellistri,-12046.34117082834,498.1338723897431
75,Jacob Bruun Larsen,-5957.132723288885,-819.4978741598608
76,Naouirou Ahamada,-10102.673149133761,230.44422309051936
77,Pascal Gro?,34099.836617226945,-2960.585950775035
