,names,x,y,z
0,Thiago Silva,29889.655509416043,1843.8054052570833,-1123.0202008043816
1,Neto,11994.87106915512,7268.574321764002,2366.8964969413955
2,Brandon Aguilera,-12786.817991180335,792.3753138782408,-573.6298326826637
3,Vitinho,132.22466087952873,-976.6199216616986,567.6599598034103
4,Ashley Young,1674.5754888776744,1120.1539652458994,11.249503313446725
5,Remi Matthews,-12840.638329739617,788.4919892868056,-568.7107076122959
6,S?amus Coleman,-8981.32814437588,831.1346330616891,-390.0169182538014
7,Mathias J?rgensen,-4483.343422870661,1433.4055243348998,-522.347569107171
8,?ukasz Fabia?ski,-6474.80480911919,2528.898912178584,28.493041584311054
9,Aaron Cresswell,-8250.480954284329,1053.237060472048,-870.1666911915446
10,Wes Foderingham,11472.590597201646,8164.141550355089,2571.7602267585235
11,Adam Lallana,-7526.004712023606,-159.34256098790635,-709.3117248042832
12,Adam Smith,1365.3440256926708,1079.9078748236216,-695.5132442248341
13,Ben Mee,-2702.776624148913,819.1209542576331,-341.27047320411145
14,James Milner,-4596.464989832172,529.6639629809061,-1088.3677484135972
15,Joel Ward,602.9458190679134,1793.7529336991201,-552.1634314121567
16,Martin D?bravka,1016.7801434326518,3137.4098602225745,257.94327486675024
17,Nathaniel Clyne,-4423.9977751744655,883.2470658121514,-683.5750697725393
18,Robin Olsen,-8716.086350028647,1478.6710666077656,-379.8592256394511
19,Andros Townsend,-7044.789183724101,-625.790528869649,364.5327053533233
20,Andr? Gomes,-8679.599420954917,302.385394612093,-771.8438932813222
21,Craig Dawson,12561.92974978496,495.57188940436197,-1545.854667883693
22,Daniel Bentley,-10026.827009292552,1548.367290588937,-402.5460005980759
23,Ivan Peri?i?,-11843.026272977293,677.0545840863027,-313.222532870151
24,James Hill,-12248.099519506372,861.1664535916354,-640.1885095016997
25,Jonny Evans,241.0244002315443,1.1743061383419018,-629.7025106928517
26,Omari Forson,-12443.547667459603,716.1562678343705,-584.0047746315578
27,Tom Cairney,5780.5477154177015,-2288.605668614104,-881.402202936332
28,Emil Krafth,-4466.218923551524,787.884599800309,-538.3497133248985
29,George Baldock,-7690.502551471886,754.5985639269684,-537.8647121995555
30,Willy Boly,-2331.4800424527157,1261.5487034732841,-592.119474091813
31,Charlie Taylor,5134.283825792474,-125.67887541628416,-1190.0396845745292
32,Gabriel Osho,-788.99432522372,670.1992644883077,-704.2225070044386
33,Ja?ro Riedewald,-11352.235287982263,635.0548910779377,-734.0784923178012
34,Matt Doherty,-4535.909902266349,135.54831913990938,-1248.0779132806954
35,Rodrigo Ribeiro,-12734.321104605535,769.3221597872068,-538.1578585394786
36,Thomas Strakosha,-11082.994490732126,1237.2642367417589,-550.9562109277584
37,William Osula,-12104.15196848611,381.0485635776118,-211.27703805542117
38,Willian,4855.420503546939,-2688.8097991816626,958.6011278184112
39,Ivo Grbi?,-6045.835041659472,2911.7141198590634,493.79224430680443
40,Jason Steele,1757.8927632983275,4245.001334906341,389.2518850277343
41,Mark Travers,-10125.615153855995,1502.0343277419697,-322.01705363086046
42,Carlos Vin?cius,-12180.025793243982,582.8846067539038,-466.76237856512086
43,Emiliano Mart?nez,19756.116343169153,6540.442951339055,827.5782183595524
44,Enso Gonzalez,-12756.35310611112,763.0894836846488,-585.1348246418103
45,Jordan Ayew,-1805.1522340467063,-2807.8600668460526,1699.2350468959617
46,Michail Antonio,-9588.06238769461,-595.855370580488,914.983019643767
47,Tim Iroegbunam,-12054.84475843275,708.0261912381217,-527.500561610618
